"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Jan-Mar 2026",Contract,"West Berkshire Council",Awarded,2026-06-03T10:38:02+01:00,"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Jan-Mar 2026","This relates to contracts awarded during the forth quarter (January-March 2026) of this DPS for transport services. Applications can be made to the DPS during any point of its lifetime and details are available here https://intendhost.co.uk/westberks/aspx/Home",,,"South East","60100000 ",,procurement@westberks.gov.uk,"Council Office","Council Offices, Market Street",NEWBURY,RG145LD,England,,,,,,10/02/2026,31/07/2029,01/02/2026,NO,,Yes,Yes,No,Services,438156,,09/02/2026,438156,"[A Star Executive Cars|Suite 139, Regus House, 400  Thames Valley Park Drive, Reading , RG13 LB|COMPANIES_HOUSE|14996544|Yes|No][ABC Travel LTD|138 Regus, 400 Thames Valley Park Drive, Reading, Berkshire, RG6 1PT|COMPANIES_HOUSE|10861375|Yes|No][Ace Wheelchair Travel|10A Long Barn Lane, Reading, RG2 7SZ|COMPANIES_HOUSE|296285946|Yes|No][Compass Executive Cars|Unit G, Fronds Park, Frouds Lane, Aldermaston, Berkshire, RG7 4LH|COMPANIES_HOUSE|08274551|Yes|No][Prompt Cars|Office 26 62 Portman Road, Reading, England, RG30 1EA|COMPANIES_HOUSE|12588541|Yes|No]",,10/02/2026,31/07/2029,"CallOffFromDynamicPurchasingSystem ",,17:00
"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Jan-Mar 2025",Contract,"West Berkshire Council",Awarded,2025-07-10T11:07:45+01:00,"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Jan-Mar 2025","This relates to contracts awarded during the fourth quarter (January-March 2025) of this DPS
for transport services. Applications can be made to the DPS during any point of
its lifetime and details are available here https://intendhost.co.uk/westberks/aspx/Home",,,"South East","60100000 ",,procurement@westberks.gov.uk,"Council Office","Council Offices, Market Street",NEWBURY,RG145LD,England,,,,,,03/03/2025,31/07/2026,30/12/2024,NO,,Yes,Yes,No,Services,47337.6,,03/01/2025,47337.6,"[A1 Cars|14 Adwood Court, Thatcham, RG19 4ES|NONE_SOLE_TRADER||Yes|No][Comapass Executive Cars|Unit G, Fronds Park, Frouds Lane, Aldermaston, Berkshire, RG7 4LH|COMPANIES_HOUSE|8274551|Yes|No][Alanis Coach Travel|181 Cardiff Road, Reading RG1 8HD|COMPANIES_HOUSE|14461234|Yes|No]",,03/03/2025,31/07/2026,"CallOffFromDynamicPurchasingSystem ",,17:00
P00000926,Contract,"West Berkshire Council",Awarded,2023-01-24T12:22:34Z,"West Berkshire Council Core Domestic Abuse Support Service","The Council is letting a contract for the provision of a Core Domestic Abuse Support Service.

The overall aim or purpose of the Service is to contribute to the local partnership efforts to enable the Council to achieve:

• The vision in its Domestic Abuse Strategy: ""For individuals, families and children to live freely from abuse"".
• The national Domestic Abuse Plan aim: ""Help all victims and survivors who have escaped from domestic abuse feel that they can get back to life as normal, with support for their health, emotional, economic, and social needs"".

The overall commissioning intention reflects the recommended approach of the national Domestic Abuse Council:

""I know how much victims and survivors value the support they receive from independent, specialist domestic abuse services. These services bring a wealth of experience and expertise, and additional value through links with their community, and critically, independence from statutory agencies. It is this independence that builds trust with people subject to domestic abuse, and to advocate effectively on their behalf. I would expect the best areas to commission out their services to specialist third sector providers - including services run by and for marginalised communities - to make use of their expertise and to best support survivors.""

The Specification is based on the Domestic Abuse Act (2021) definition of Domestic Abuse (DA):

""Domestic abuse is any single incident, course of conduct or pattern of abusive behaviour between individuals aged 16 or over who are ""personally connected"" to each other as a result of being, or having been, intimate partners or family members, regardless of gender or sexuality. Children who see, hear or experience the effects of the abuse and are related to either of the parties are also considered victims of domestic abuse.
Behaviour is ""abusive"" if it consists of any of the following: physical or sexual abuse; violent or threatening behaviour; controlling or coercive behaviour; economic abuse; or psychological, emotional or other abuse. This includes incidences where the abusive party directs their behaviour at another person (e.g. a child). Economic abuse means any behaviour that has a substantial adverse effect on someone's ability to acquire, use or maintain money or other property, or obtain goods or services.""

The full legal definition of domestic abuse can be found in Part 1 of the Domestic Abuse Act.

The Service comprises these five elements:
• Access service (Helpline/website)
• Community Outreach service
• IDVA service
• Refuge service (women only)
• CAAS (Children and Family Services' Contact, Advice & Assessment Service) Domestic Abuse Practitioner",,RG145LD,,"75200000 85000000 ","Chris Pathmadeva",chris.pathmadeva1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,"01635 503607",https://in-tendhost.co.uk/westberks/aspx/Projects/Current/,"Domestic Abuse ITT v2.doc ",,,01/04/2023,31/03/2026,23/12/2022,NO,,Yes,Yes,No,Services,0,794193,19/01/2023,474837,"[BERKSHIRE WOMEN'S AID|P O Box 413
READING
Berkshire
RG1 8XL
GB|COMPANIES_HOUSE|03081670|Yes|Yes]",,01/04/2023,31/03/2026,"OpenOJEU ",,12:00
P00000342,Contract,"West Berkshire Council",Awarded,2022-10-26T15:38:44+01:00,"West Berkshire Council Transport Services Dynamic Purchasing System (DPS) - ongoing awards Jul-Sep 2022","This relates to contracts awarded during the first quarter of this DPS for transport services.  Applications can be made to the DPS during any point of its lifetime and details are available here https://in-tendhost.co.uk/westberks.",,,"South East","60100000 ","Vicki Murphy",vicki.murphy@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,"RG14 5LD",England,"01635 519364",,,,,05/09/2022,31/07/2027,31/08/2022,NO,,Yes,No,No,Services,8841944.5,,01/09/2022,8841944.5,"[ABC Travel (Wokingham) Ltd|Wokingham|COMPANIES_HOUSE|12254093|Yes|No][Andy's Taxis|Thatcham|NONE_SOLE_TRADER||Yes|No][BAILEYS COACHES LIMITED|Red Shute Hill, Hermitage
RG18 9QL
GB|COMPANIES_HOUSE|03118837|Yes|No][Bluebird Passenger Services|Newbury|NONE_SOLE_TRADER||Yes|No][Broadway Cars (Newbury) Ltd|Newbury|NONE_SOLE_TRADER||Yes|No][Compass Executive Cars UK Ltd|Aldermaston|NONE_SOLE_TRADER||Yes|No][DJ Travel of Berkshire Ltd|Reading|NONE_SOLE_TRADER||Yes|No][FD Travels Ltd t/a School Express|Henley on Thames|NONE_SOLE_TRADER||Yes|No][Green Metro Cars Reading Ltd|Reading|NONE_SOLE_TRADER||Yes|No][HORSEMAN COACHES LIMITED|2 Acre Road
READING
Berkshire
RG2 0SU
GB|COMPANIES_HOUSE|01339276|Yes|No][Kennet & Avon Cars Ltd|Thatcham|NONE_SOLE_TRADER||Yes|No][Newbury & District Ltd|Thatcham|NONE_OTHER||Yes|No][NJM Humphries t/a Coach Miles|Thatcham|NONE_OTHER||Yes|No][Penmar Transport Limited|Newbury|NONE_SOLE_TRADER||Yes|No][Samantha Beaumont|Thatcham|NONE_SOLE_TRADER||Yes|No][School Travel|Reading|NONE_SOLE_TRADER||Yes|No][TK Travel Ltd|Reading|NONE_SOLE_TRADER||Yes|No][WEAVAWAY TRAVEL LTD|Greenham
THATCHAM
Berkshire
RG19 6HN
GB|COMPANIES_HOUSE|6458952|Yes|No][Wheels Taxis|Newbury|NONE_SOLE_TRADER||Yes|No]",,05/09/2022,31/07/2027,"CallOffFromDynamicPurchasingSystem ",,12:00
"P00000342 Oct-Dec 2024",Contract,"West Berkshire Council",Awarded,2025-07-10T11:07:12+01:00,"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Oct-Dec 2024","This relates to contracts awarded during the third quarter (October-December 2024) of this DPS
for transport services. Applications can be made to the DPS during any point of
its lifetime and details are available here https://intendhost.co.uk/westberks/aspx/Home",,,"South East","60100000 ",,procurement@westberks.gov.uk,"Council Office","Council Offices, Market Street",NEWBURY,RG145LD,England,,,,,,07/10/2024,31/07/2028,30/09/2024,NO,,Yes,Yes,No,Services,831021,,30/09/2024,831021,"[Alanis Coach Travel|181 Cardiff Road, Reading RG1 8HD|COMPANIES_HOUSE|14461234|Yes|No][Andy Cox|68 Derwent Road, Thatcham, Berkshire, RG19 9UR|NONE_SOLE_TRADER||Yes|No][Bluebird Passenger Services|24 Southend, Cold Ash, Thatcham, RG18 3BW|NONE_SOLE_TRADER||Yes|No][Golden Aura Care Limited|93 Ian Mikardo Way, Caversham, Reading, RG4 5DA|COMPANIES_HOUSE|14963438|Yes|No][MFR Contracts|6 Burys Bank Road, Greenham, Thatcham, RG19 8SL|NONE_SOLE_TRADER||Yes|No][Penmar Transport Services|9 Churchside, East Isley, Newbury, berkshire, RG20 7LR|COMPANIES_HOUSE|6583606|Yes|No][Prompt Cars|Regus House, 400 Thames Valley Park Drive, RG6 1PT|COMPANIES_HOUSE|12588541|Yes|No][School Express|3 Barratt Court, 70 Cardiff Road, Reading, Berkshire, RG1 8ED|COMPANIES_HOUSE|084693784|Yes|No]",,07/10/2024,31/07/2028,"CallOffFromDynamicPurchasingSystem ",,17:00
P00001009,Contract,"West Berkshire Council",Awarded,2023-07-31T10:16:49+01:00,"West Berkshire Council / Telephony Solution (Corporate and Contact Centre) RM3808 Lot 5","This is a call-off via RM3808 (Crown Commercial Services) Lot 5 - and follows a further competition process.  The award notice is published for transparency.",,"RG14 5LD",,"32524000 ","Commissioning and Procurement Team",procurement@westberks.gov.uk,"Council Offices,Market Street",,NEWBURY,"RG14 5LD","United Kingdom",,,,,,15/08/2023,14/08/2030,20/07/2023,NO,,Yes,No,No,Services,303131.96,,31/07/2023,303131.96,"[Southern Communications Corporate Solutions Ltd|Glebe Farm Down Street, 
Dummer
Basingstoke
RG25 2AD|COMPANIES_HOUSE|02645307|No|No]",,15/08/2023,14/08/2030,"CallOffFromFrameworkAgreement ",,12:00
"P00000342 Jan-Mar 2023",Contract,"West Berkshire Council",Awarded,2023-04-22T10:43:25+01:00,"West Berkshire Council Transport Services Dynamic Purchasing System (DPS) - ongoing awards Jan-Mar 2023","This relates to contracts awarded during the third quarter (Jan-Mar 2023) of this DPS for transport services.  Applications can be made to the DPS during any point of its lifetime and details are available here https://in-tendhost.co.uk/westberks.",,,"South East","60100000 ","Vicki Murphy",vicki.murphy@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,"RG14 5LD",England,"01635 519364",,,,,01/04/2023,31/07/2027,31/03/2023,NO,,Yes,No,No,Services,434393.8,,31/03/2023,434393.8,"[Compass Executive Cars UK Ltd|Frouds Lane,
Aldermaston
RG7 4LH|COMPANIES_HOUSE|8274551|Yes|No][DJ Travel Ltd|Mortimer
Reading
RG7 3TX|COMPANIES_HOUSE|06683216|Yes|No][ABC Travel (Wokingham) LTD|Thames Valley Park Drive
Reading
RG6 1PT|COMPANIES_HOUSE|10861375|Yes|No][Bluebird Passenger Services|Cold Ash
Thatcham
RG18 3BW|NONE_OTHER||Yes|No]",,01/04/2023,31/07/2027,"CallOffFromDynamicPurchasingSystem ",,12:00
"P00000342 Oct-Dec 2022",Contract,"West Berkshire Council",Awarded,2023-01-03T12:33:26Z,"West Berkshire Council Transport Services Dynamic Purchasing System (DPS) - ongoing awards Oct-Dec 2022","This relates to contracts awarded during the second quarter of this DPS for transport services.  Applications can be made to the DPS during any point of its lifetime and details are available here https://in-tendhost.co.uk/westberks.",,,"South East","60100000 ","Vicki Murphy",vicki.murphy@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,"RG14 5LD",England,"01635 519364",,,,,04/01/2023,31/07/2027,31/12/2022,NO,,Yes,No,No,Services,1212097.04,,31/12/2022,1212097.04,"[Almaaz 59 Ltd T/A School Travel|Reading|COMPANIES_HOUSE|05572795|Yes|No][Daniel Griffiths T/A Bluebird Passenger Services|Cold Ash|NONE_SOLE_TRADER||Yes|No][FD Travels T/A School Express|Henley on Thames|COMPANIES_HOUSE|084693784|Yes|No][Green Metro|Reading|COMPANIES_HOUSE|09103413|Yes|No][K Ricketts & S Richards|Thatcham|NONE_SOLE_TRADER||Yes|No][Miracle Taxis ta Premier Cars|Reading|COMPANIES_HOUSE|2802320|Yes|No][Valley Cars|Great Shefford|COMPANIES_HOUSE|09310016|Yes|No]",,04/01/2023,31/07/2027,"CallOffFromDynamicPurchasingSystem ",,12:00
P00000659,Contract,"West Berkshire Council",Awarded,2022-03-10T16:11:54Z,"Research consultancy - Review of Strategic Signposting","West Berkshire Council would like to commission an expert, independent, researcher consultant to undertake a review of the needs of all users of community and strategic signposting in West Berkshire. The findings of this review will then be used to provide options for the way forward after the existing contract concludes in May 2023 and inform the scoping for future service specifications.

We are looking for a single supplier who can provide applied research expertise. This project will look to specifically evaluate the needs of the users of the West Berkshire Directory and it's functionality but will also take into account the necessary and desired platforms that it interfaces with. 

If you are interested in submitting a tender proposal, you can find more details via our e-Procurement as per the link below:

https://in-tendhost.co.uk/westberks/aspx/Home",,,"South East","73000000 ","Chris Pathmadeva",chris.pathmadeva1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,"01635 503607",,"ITQ - Research consultancy.docx Annex 1 - Short terms and Conditions.docx Annex 2 - Research Consultancy Specification.docx Annex 3 - Pricing Schedule.docx ",,,21/03/2022,13/06/2022,04/03/2022,NO,,Yes,Yes,No,Services,0,20000,10/03/2022,18080,"[Invotra Consulting Limited|First Floor, 129 High Street, Guildford, Surrey  GU1 3AA|COMPANIES_HOUSE|12292466|Yes|No]",,21/03/2022,13/06/2022,"OpenNonOJEU ",,12:00
P00001043,Contract,"West Berkshire Council",Awarded,2023-06-05T15:28:16+01:00,"West Berkshire Vegetation Clearances - Public Rights of Way (PROW)","West Berkshire Council currently has a team of in-house Rights of Way Maintenance Rangers that work across the whole public rights of way network (PROW) within West Berkshire, to clear vegetation. As the team is quite small, assistance is needed in order to keep up with required levels of vegetation clearance on public rights of way during the months of June - September inclusive.

The Council is looking to commission a Provider(s) to complete clearances across the District as well as respond to ad-hoc requests that arise. Clearances are split into the East and West of the district, Providers can bid for one (either East or West) or both Lots (East and West).

Lot 1: Clearances across the East of the District
Lot 2: Clearances across the West of the District",,"rg14 5ld",,"45233229 77300000 ","Emma Richardson",emma.richardson1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,01635503434,https://in-tendhost.co.uk/westberks/aspx/Home,,,,05/06/2023,30/09/2023,31/05/2023,NO,,Yes,No,No,Services,0,24000,02/06/2023,23242.93,"[Tactical Facilities Management Ltd|Unit 3B
Green Farm
Burghfield
RG30 3RJ|COMPANIES_HOUSE|11719682|Yes|No]",,05/06/2023,30/09/2023,"OpenNonOJEU ",,12:00
P00000739,Contract,"West Berkshire Council",Awarded,2022-07-01T12:52:02+01:00,"Equality, Diversity and Inclusion Consultancy","West Berkshire Council would like to commission expert support for the development of our approach to Equality Diversity and Inclusion (EDI). This is anticipated to be a supplier(s) with specialist knowledge for nine to twelve months to deliver an EDI framework to express a vision, principles, aims/objectives with an accompanying action plan, grounded in lived experience, to deliver EDI across West Berkshire.
We are looking for either a single supplier or a collaboration of suppliers that can provide consultancy expertise to develop and assist in the roll out the above framework. This will support the following priorities within our Council Strategy:
•	Support everyone to reach their full potential 
•	Ensure our vulnerable children and adults achieve better outcomes.

Further details can be found via our e-Procurement portal here:

https://in-tendhost.co.uk/westberks/aspx/Home",,RG145LD,,"79400000 ","Chris Pathmadeva",chris.pathmadeva1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,"01635 503607",,,,,11/07/2022,30/06/2023,27/06/2022,NO,,Yes,Yes,No,Services,0,20000,01/07/2022,19800,"[The Equal Group|1 Victoria Square, Birmingham, B1 1BD|COMPANIES_HOUSE|11495734|Yes|No]",,11/07/2022,31/03/2023,"OpenNonOJEU ",,12:00
P00000740,Contract,"West Berkshire Council",Awarded,2022-07-01T12:47:34+01:00,"Equality, Diversity and Inclusion Needs Assessment","West Berkshire Council would like to commission expert support for the development of our approach to Equality Diversity and Inclusion (EDI). This is anticipated to be a supplier(s) with specialist knowledge to deliver an EDI needs assessment on the nine groups with protected characteristics under the Equality Act (2010) and other factors which may create inequality and disadvantage.
We are looking for either a supplier that can provide data collation and analysis expertise to carry out an EDI needs assessment for West Berkshire. This will support the following priorities within our Council Strategy:
•	Support everyone to reach their full potential 
•	Ensure our vulnerable children and adults achieve better outcomes.

More details can be found via our e-Procurement portal found here:

https://in-tendhost.co.uk/westberks/aspx/Home",,RG145LD,,"79410000 ","Chris Pathmadeva",chris.pathmadeva1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,"01635 503607",,,,,11/07/2022,11/10/2022,27/06/2022,NO,,Yes,Yes,No,Services,0,6000,01/07/2022,5350,"[Temple Group Limited|3rd Floor
The Clove Building
4 Maguire Street
London SE1 2NQ|COMPANIES_HOUSE|3305849|Yes|No]",,11/07/2022,16/09/2022,"OpenNonOJEU ",,12:00
"IT-402-1354-P00001354 - AWARD",Contract,"West Berkshire",Awarded,2024-06-20T16:06:37+01:00,"West Berkshire Vegetation Clearances - AWARD","West Berkshire Council currently has a team of in-house Rights of Way Maintenance Rangers that work across the whole public rights of way network (PROW) within West Berkshire, to clear vegetation. As the team is quite small, assistance is needed to keep up with required levels of vegetation clearance on public rights of way during the months of June to September inclusive.
      The Council is looking to commission a Provider to complete clearances across the District as well as respond to ad-hoc requests between June and September 2024.",,"RG14 5LD","Any region","77340000 77310000 77300000 ","Emma Richardson",Emma.Richardson1@westberks.gov.uk,"Market Street",Newbury,"West Berkshire","RG14 5LD","United Kingdom","01635 503434",,,,,18/06/2024,18/10/2024,27/05/2024,NO,,No,No,No,Services,0,0,07/06/2024,24000,"[Morton Pattison Ltd|17 Woodgreen Road, Woodgreen Road, Winchester, Hampshire, United Kingdom, SO22 6LH|NONE||No|No]",,18/06/2024,18/10/2024,"Open ",,12:00
"IT-402-1200-P00001200 - AWARD",Contract,"West Berkshire",Awarded,2024-06-25T13:53:48+01:00,"Corporate Security Services - AWARD","The Council is tendering a contract for Corporate Security Services  
      The requirement is to provide a range of planned and unplanned security/reception services for West Berkshire Council across a number of Council sites. The provider will be licensed with the Security Industry Authority (SIA), and offer industry standard security services for West Berkshire Council Sites as required.",,"RG14 5LD","South East","79710000 ","Gary Clarke",Gary.Clarke1@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,01635519061,,,,,01/03/2024,28/02/2027,22/09/2023,NO,,Yes,No,No,Services,120000,180000,31/01/2024,175000,"[Elite Alarm Monitoring Services Limited t/a Elite Security Group|33B Kingfisher Court, Hambridge Road, Newbury, Great Britain, RG14 5SJ|NONE||No|No]",,01/03/2024,28/02/2027,"Open ",,12:00
"P00000565 - AWARD",Contract,"West Berkshire",Awarded,2021-12-10T11:08:27Z,"Provision of Particulate Matter PM2.5 monitoring for a specific project for the Public Protection Partnership - AWARD","The Public Protection Partnership (""PPP"") provides the traditional local authority functions of Trading Standards, Licensing and Environmental Health for Bracknell Forest, West Berkshire and Wokingham Councils.  
      The PPP has been awarded an Air Quality DEFRA Grant which includes a PM2.5 focussed air quality project.  The project spans over Bracknell Forest Borough Council, Wokingham Borough Council and West Berkshire Council. PM2.5 is required to be monitored at 42 schools within or near to the 7 AQMAs. Results are to be reported for each location with a site specific mitigation Action Plan.
      The PPP requires project management services to perform air quality monitoring at the 42 school locations as well as reporting of the results. 
      The expected outcome of the project is for the supplier to see through management of the project until completion.",,"RG14 5LD","South West","90713000 90700000 90711500 ","Suzanne  McLaughlin",Suzanne.McLaughlin@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+44 1635 519851",,,,,21/12/2021,31/03/2023,12/11/2021,NO,,Yes,No,No,Services,125000,125000,10/12/2021,91572.6,"[AECOM Limited|Aecom 2, Leman Street, London, United Kingdom, E1 8FA|NONE||No|No]",,21/12/2021,31/03/2023,"Open ",,12:15
"IT-402-1310-P00001310 - AWARD",Contract,"West Berkshire",Awarded,2024-03-11T15:56:06Z,"Japanese Knotweed Rhizome Remediation Works at Four Houses Corner - AWARD","West Berkshire Council is tendering a contract for the removal of Japanese Knotweed from Four Houses Corner Traveller Site. 
      The works comprise of the following: 
      Remediation of existing recycled crushed demolition material stockpiles for Japanese Knotweed rhizome fragments. The objective
      being to reuse as much of the crushed material as possible i.e., re-grade and stockpile for reuse as 6F2 filling material.
      Location: Four Houses Corner Caravan Site, Ufton Nervet, West Berkshire, RG7 4QJ.",,"RG14 5LD","South East","45262640 90700000 90710000 90722200 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 503218",,,,,01/03/2024,12/04/2024,05/02/2024,NO,,Yes,No,No,Works,0,95000,23/02/2024,94080,"[Ebsford Environmental Ltd|The Refectory, Nostell Estate, Wakefield, United Kingdom, WF4 1AB|NONE||No|No]",,01/03/2024,12/04/2024,"Open ",,11:00
"IT-402-1300-P00001300 - AWARD",Contract,"West Berkshire",Awarded,2024-07-30T11:08:23+01:00,"Thatcham Memorial Fields - Flood Alleviation Scheme - AWARD","West Berkshire Council are looking to procure the main contractor for the provision of a flood alleviation scheme at Memorial Fields, Brownsfield Road, Thatcham, Berkshire RG18 3AG. 
      
      Bidders must ONLY complete the 'Thatcham Memorial Fields - PAS91 Questionnaire' document for this first stage. Bidders who are successful at pre-qualification stage will be invited to tender for the contract.
      
      Please note the ITT documents have been included but are FOR REFERENCE ONLY and should not be submitted during this first stage tender.
      
      Description of the requirement:
      The works consist of a flood storage basin and swale connected to the adjacent Thames Water trunk sewer.   The purpose of the scheme is to prevent overland surface water flooding as experienced in 2007 by intercepting these flows and releasing these flood volumes back into the existing Thames Water sewer when capacity within the sewer network is available.  To a lesser degree, the flood alleviation scheme will provide flood storage volume when the sewer has insufficient capacity to carry peak flows from extreme storm events.  The flood alleviation scheme when implemented will prevent overland surface water flooding to existing residential properties and commercial areas downstream of the scheme. 
      
      The full specification can be found within the tender pack.",,"RG14 5LD","South East","45246400 ","Vicky Pearce",Vicky.Pearce@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"01635 503961",,,,,20/05/2024,11/10/2024,05/01/2024,NO,,No,No,No,Works,1300000,1600000,20/03/2024,1220091,"[Hope & Clay (Construction) Ltd|Synergy, Benyon Road, Silchester, Berks, United Kingdom, RG7 2PQ|NONE||No|No]",,20/05/2024,11/10/2024,"Restricted ",,11:00
"IT-402-1293-P00001293 - AWARD",Contract,"West Berkshire",Awarded,2024-07-10T10:29:29+01:00,"Four Houses Corner Traveller Site - Main Construction - AWARD","West Berkshire Council are looking to procure the main contractor for the provision of 17 dwellings at Four Houses Corner Traveller Site, Ufton Nervet, Reading, Berkshire RG7 4QJ.
      
      The works include: completion of site clearance and construction of new traveller site with 17nr amenity blocks, refuse store, external access roadway, hard pavings and landscaping, foul and surface water drainage and external services including construction of SSE substation and meter buildings and landlords water meter building.
      Full scope is outlined within the tender document pack.
      
      Bidders must ONLY complete the 'Four Houses Corner - PAS91 Questionnaire' document for this first stage. Bidders who are successful at pre-qualification stage will be invited to tender for the contract.
      
      Please note the ITT documents have been included but are for reference ONLY and should not be submitted during this first stage tender.",,"RG14 5LD","South East","45000000 ","Gary Clarke",Gary.Clarke1@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,01635519061,,,,,10/07/2024,31/01/2025,20/12/2023,NO,,Yes,No,No,Works,0,0,21/03/2024,3153752,"[Feltham Construction Ltd|Feltham House, 42 London Road , Feltham House, 42 London Road , Newbury , Berkshire , United Kingdom, RG14 1LA|NONE||No|No]",,10/07/2024,31/01/2025,"Open ",,11:00
"IT-402-994-P00000994 - AWARD",Contract,"West Berkshire",Awarded,2023-09-11T15:17:44+01:00,"Trinity School Dining Hall Refurbishment & Canopy Installation - AWARD","West Berkshire Council is tendering a contract for refurbishment of social and dining spaces at Trinity School, Love Lane, Newbury, Berkshire RG14 2DU.
      
      The project comprises of the following works: 
      -Removal of internal structural walls to enlarge the dining room at Trinity School 
      -Refurbishment of the dining room area, including new lighting 
      -Construction of 3nr new external canopies
      Full details can be found in the tender documents.",,"RG14 5LD","Any region","45214200 45000000 45210000 45214220 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 503218",,,,,02/05/2023,01/09/2023,03/04/2023,NO,,Yes,No,No,Works,0,0,02/05/2023,310123,"[Beard Construction|Faraday Road, Dorcan, Swindon, Wiltshire, United Kingdom, SN3 5JY|NONE||No|No]",,02/05/2023,01/09/2023,"Open ",,11:00
"IT-402-720-P00000720 - AWARD",Contract,"West Berkshire",Awarded,2023-03-14T17:12:22Z,"Theale ASD/SEMH Secondary Provision Project - AWARD","*This is the pre-qualification stage of a 2 stage tender process* 
      West Berkshire Council are looking to procure the main contractor for the provision of a new ASD/SEMH secondary school facility.
      
      Works comprise the following:
      
      Section One: New DT & Horticultural Block together with garden area 
      
      Section Two: Refurbishment of the existing School and associated external works 
      
      Section Three: Refurbishment of the existing School House and associated external works 
      
      Section Four: Demolition of the existing Temporary Building A and associated external works 
      
      Section Five: Resurfacing of the existing access road and footpath 
      
      Location: Former Theale Primary School, Church Street, Theale, Berkshire, RG7 5BZ
      
      Bidders must ONLY complete the SQPAS91 Document for this first stage. Bidders who are successful at pre-qualification stage will be invited to tender for the contract.
      
      Please note the ITT documents have been included but are for reference ONLY and should not be submitted during this first stage tender.",,"RG14 5LD","Any region","45000000 45210000 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 503218",,,,,24/10/2022,28/08/2023,13/06/2022,NO,,Yes,No,No,Works,0,0,21/10/2022,4021432,"[Contract Trading Services Limited|Unit 16 Metro Centre, Toutley Road, Wokingham, Berkshire, United Kingdom, RG41 1QW|NONE||No|No]",,24/10/2022,28/08/2023,"Restricted ",,11:00
"IT-402-1102-P00001102 - AWARD",Contract,"West Berkshire",Awarded,2024-02-21T15:41:09Z,"West Point House Refurbishment - AWARD","West Berkshire Council are looking to appoint a main contractor to carry out the re-configuration and refurbishment of West Point House, from office space into residential accommodation in the form of 5 flats with associated services, landscaping, parking and cycle and bin storage facilities. 
      Site address: West Point House, West Street, Newbury RG14 1BZ.
      The full scope is outlined in the specification included within the tender document pack.",,"RG14 5LD","South East","45000000 45210000 45453100 45211341 45211000 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 503218",,,,,02/10/2023,15/03/2024,14/08/2023,NO,,No,No,No,Works,500000,1000000,12/09/2023,1162189,"[LIFE Build Solutions Limited|2 Buckingham Place, Bellfield Road West, High Wycombe, Buckinghamshire, United Kingdom, HP13 5HW|NONE||No|No]",,02/10/2023,15/03/2024,"Open ",,11:00
